,route_acc,type_acc,climate_acc,day_acc,month_acc,years_acc,scene_acc,road_surface,time_acc
1,บางนา-ชลบุรี,อื่นๆ,แจ่มใส,1,1,2019,ทางตรง,ไม่มีความลาดชัน,1
2,ดาวคะนอง -  แสมดำ,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,1,1,2019,ทางตรง,ไม่มีความลาดชัน,2
3,อรุณอมรินทร์ - พุทธมณฑลสาย 4,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,1,1,2019,ทางตรง,ไม่มีความลาดชัน,3
5,คลองพระยาสุเรนทร์ - บางพลี,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,1,1,2019,ทางตรง,ไม่มีความลาดชัน,4
7,คลองพระยาสุเรนทร์ - บางพลี,รถปิคอัพบรรทุก 4 ล้อ,แจ่มใส,1,1,2019,ทางตรง,ไม่มีความลาดชัน,4
9,อรุณอมรินทร์ - พุทธมณฑลสาย 4,รถตู้,แจ่มใส,2,1,2019,ทางตรง,ไม่มีความลาดชัน,1
10,พญาไท-ศรีนครินทร์,รถตู้,แจ่มใส,2,1,2019,ทางตรง,ไม่มีความลาดชัน,1
12,อรุณอมรินทร์ - พุทธมณฑลสาย 4,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,2,1,2019,ทางตรง,ไม่มีความลาดชัน,1
13,อรุณอมรินทร์ - พุทธมณฑลสาย 4,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,2,1,2019,ทางตรง,ไม่มีความลาดชัน,1
14,อรุณอมรินทร์ - พุทธมณฑลสาย 4,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,2,1,2019,ทางตรง,ไม่มีความลาดชัน,1
15,สุขสวัสดิ์-บางขุนเทียน,อื่นๆ,แจ่มใส,2,1,2019,ทางตรง,ไม่มีความลาดชัน,1
16,อรุณอมรินทร์ - พุทธมณฑลสาย 4,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,2,1,2019,ทางตรง,ไม่มีความลาดชัน,2
17,พญาไท-ศรีนครินทร์,รถปิคอัพบรรทุก 4 ล้อ,แจ่มใส,2,1,2019,ทางตรง,ไม่มีความลาดชัน,2
18,พญาไท-ศรีนครินทร์,อื่นๆ,แจ่มใส,2,1,2019,ทางตรง,ไม่มีความลาดชัน,2
19,อรุณอมรินทร์ - พุทธมณฑลสาย 4,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,2,1,2019,ทางตรง,ไม่มีความลาดชัน,2
21,คลองพระยาสุเรนทร์ - บางพลี,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,2,1,2019,ทางตรง,ไม่มีความลาดชัน,2
22,อรุณอมรินทร์ - พุทธมณฑลสาย 4,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,2,1,2019,ทางตรง,ไม่มีความลาดชัน,3
23,พระประแดง - บางแค,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,2,1,2019,ทางตรง,ไม่มีความลาดชัน,3
24,คลองพระยาสุเรนทร์ - บางพลี,รถบรรทุกมากกว่า 10 ล้อ (รถพ่วง),แจ่มใส,2,1,2019,ทางตรง,ไม่มีความลาดชัน,3
25,แขวงรามอินทรา - บางพลี,รถปิคอัพบรรทุก 4 ล้อ,แจ่มใส,2,1,2019,ทางตรง,ไม่มีความลาดชัน,4
26,ถนนศรีนครินทร์ - บางปะกง,รถโดยสารขนาดใหญ่,แจ่มใส,3,1,2019,ทางตรง,ไม่มีความลาดชัน,4
28,บางนา-ชลบุรี,รถตู้,แจ่มใส,4,1,2019,ทางตรง,ไม่มีความลาดชัน,1
29,สุขสวัสดิ์-บางขุนเทียน,รถปิคอัพบรรทุก 4 ล้อ,แจ่มใส,4,1,2019,อื่นๆ,ไม่มีความลาดชัน,1
30,บางปะอิน - คลองพระยาสุเรนทร์,รถบรรทุกมากกว่า 10 ล้อ (รถพ่วง),แจ่มใส,4,1,2019,ทางตรง,ไม่มีความลาดชัน,1
31,แจ้งวัฒนะ-พญาไท,อื่นๆ,แจ่มใส,4,1,2019,ทางตรง,ไม่มีความลาดชัน,1
32,อรุณอมรินทร์ - พุทธมณฑลสาย 4,รถปิคอัพบรรทุก 4 ล้อ,แจ่มใส,4,1,2019,ทางตรง,ไม่มีความลาดชัน,2
33,บางพลี-สุขสวัสดิ์,รถบรรทุกมากกว่า 6 ล้อ ไม่เกิน 10 ล้อ,แจ่มใส,4,1,2019,ทางตรง,ไม่มีความลาดชัน,2
34,สุขสวัสดิ์-บางขุนเทียน,รถบรรทุก 6 ล้อ,แจ่มใส,4,1,2019,ทางตรง,ไม่มีความลาดชัน,2
35,คลองพระยาสุเรนทร์ - บางพลี,รถปิคอัพบรรทุก 4 ล้อ,แจ่มใส,4,1,2019,ทางตรง,ไม่มีความลาดชัน,2
36,พญาไท-ศรีนครินทร์,รถตู้,แจ่มใส,4,1,2019,อื่นๆ,ไม่มีความลาดชัน,3
37,อรุณอมรินทร์ - พุทธมณฑลสาย 4,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,4,1,2019,ทางตรง,ไม่มีความลาดชัน,3
38,แยกเข้ามีนบุรี - คลองหลวงแพ่ง,รถปิคอัพบรรทุก 4 ล้อ,แจ่มใส,5,1,2019,ทางตรง,ไม่มีความลาดชัน,0
39,แจ้งวัฒนะ-พญาไท,รถตู้,แจ่มใส,5,1,2019,ทางตรง,ไม่มีความลาดชัน,2
40,ถนนศรีนครินทร์ - บางปะกง,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,5,1,2019,ทางตรง,ไม่มีความลาดชัน,3
41,อรุณอมรินทร์ - พุทธมณฑลสาย 4,รถปิคอัพบรรทุก 4 ล้อ,แจ่มใส,5,1,2019,ทางตรง,ไม่มีความลาดชัน,3
43,บางแค - คลองมหาสวัสดิ์,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,6,1,2019,ทางตรง,ไม่มีความลาดชัน,0
44,คลองพระยาสุเรนทร์ - บางพลี,รถปิคอัพบรรทุก 4 ล้อ,ฝนตก,6,1,2019,ทางตรง,ไม่มีความลาดชัน,0
45,คลองพระยาสุเรนทร์ - บางพลี,รถปิคอัพบรรทุก 4 ล้อ,ฝนตก,6,1,2019,ทางตรง,ไม่มีความลาดชัน,0
47,ถนนศรีนครินทร์ - บางปะกง,รถปิคอัพบรรทุก 4 ล้อ,แจ่มใส,6,1,2019,ทางตรง,ไม่มีความลาดชัน,2
49,ดาวคะนอง -  แสมดำ,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,7,1,2019,ทางตรง,ไม่มีความลาดชัน,1
52,พญาไท-ศรีนครินทร์,อื่นๆ,แจ่มใส,7,1,2019,อื่นๆ,ไม่มีความลาดชัน,3
54,ถนนศรีนครินทร์ - บางปะกง,รถปิคอัพบรรทุก 4 ล้อ,แจ่มใส,7,1,2019,ทางตรง,ไม่มีความลาดชัน,3
55,บางบอน - โรงพยาบาลบางปะกอก 8,รถปิคอัพบรรทุก 4 ล้อ,แจ่มใส,7,1,2019,อื่นๆ,ไม่มีความลาดชัน,3
58,ถนนศรีนครินทร์ - บางปะกง,รถตู้,แจ่มใส,8,1,2019,ทางตรง,ไม่มีความลาดชัน,0
59,บางแค - คลองมหาสวัสดิ์,รถจักรยานยนต์,แจ่มใส,8,1,2019,ทางตรง,ไม่มีความลาดชัน,0
60,อรุณอมรินทร์ - พุทธมณฑลสาย 4,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,8,1,2019,ทางตรง,ไม่มีความลาดชัน,0
62,อรุณอมรินทร์ - พุทธมณฑลสาย 4,รถปิคอัพบรรทุก 4 ล้อ,แจ่มใส,8,1,2019,ทางตรง,ไม่มีความลาดชัน,2
63,อรุณอมรินทร์ - พุทธมณฑลสาย 4,รถตู้,แจ่มใส,8,1,2019,ทางตรง,ไม่มีความลาดชัน,2
65,บางแค - คลองมหาสวัสดิ์,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,9,1,2019,ทางตรง,ไม่มีความลาดชัน,3
66,คลองพระยาสุเรนทร์ - บางพลี,รถตู้,แจ่มใส,9,1,2019,ทางตรง,ไม่มีความลาดชัน,3
67,ดาวคะนอง -  แสมดำ,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,10,1,2019,ทางตรง,ไม่มีความลาดชัน,2
68,ดาวคะนอง -  แสมดำ,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,10,1,2019,ทางตรง,ไม่มีความลาดชัน,3
69,บางปะอิน - คลองพระยาสุเรนทร์,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,10,1,2019,ทางตรง,ไม่มีความลาดชัน,4
71,บางปะอิน - คลองพระยาสุเรนทร์,รถบรรทุก 6 ล้อ,แจ่มใส,11,1,2019,ทางตรง,ไม่มีความลาดชัน,2
74,คลองพระยาสุเรนทร์ - บางพลี,รถบรรทุกมากกว่า 10 ล้อ (รถพ่วง),แจ่มใส,12,1,2019,ทางตรง,ไม่มีความลาดชัน,0
76,บางแค - คลองมหาสวัสดิ์,รถจักรยานยนต์,แจ่มใส,12,1,2019,ทางตรง,ไม่มีความลาดชัน,2
78,แจ้งวัฒนะ-พญาไท,รถปิคอัพบรรทุก 4 ล้อ,แจ่มใส,13,1,2019,ทางตรง,ไม่มีความลาดชัน,1
79,บางแค - คลองมหาสวัสดิ์,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,13,1,2019,ทางตรง,ไม่มีความลาดชัน,2
80,บางแค - คลองมหาสวัสดิ์,รถปิคอัพบรรทุก 4 ล้อ,แจ่มใส,13,1,2019,ทางตรง,ไม่มีความลาดชัน,2
81,อรุณอมรินทร์ - พุทธมณฑลสาย 4,รถปิคอัพบรรทุก 4 ล้อ,แจ่มใส,13,1,2019,ทางตรง,ไม่มีความลาดชัน,2
83,ถนนศรีนครินทร์ - บางปะกง,รถปิคอัพบรรทุก 4 ล้อ,แจ่มใส,13,1,2019,ทางตรง,ไม่มีความลาดชัน,3
84,อรุณอมรินทร์ - พุทธมณฑลสาย 4,รถจักรยานยนต์,แจ่มใส,13,1,2019,ทางตรง,ไม่มีความลาดชัน,4
85,บางแค - คลองมหาสวัสดิ์,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,14,1,2019,ทางตรง,ไม่มีความลาดชัน,0
86,อรุณอมรินทร์ - พุทธมณฑลสาย 4,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,14,1,2019,ทางตรง,ไม่มีความลาดชัน,1
87,ถนนศรีนครินทร์ - บางปะกง,รถปิคอัพบรรทุก 4 ล้อ,แจ่มใส,14,1,2019,ทางตรง,ไม่มีความลาดชัน,2
88,บางพลี-สุขสวัสดิ์,รถปิคอัพบรรทุก 4 ล้อ,แจ่มใส,14,1,2019,ทางตรง,ไม่มีความลาดชัน,3
89,ถนนศรีนครินทร์ - บางปะกง,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,14,1,2019,ทางตรง,ไม่มีความลาดชัน,4
92,พญาไท-ศรีนครินทร์,อื่นๆ,แจ่มใส,15,1,2019,ทางตรง,ไม่มีความลาดชัน,2
93,แจ้งวัฒนะ-พญาไท,รถปิคอัพบรรทุก 4 ล้อ,แจ่มใส,15,1,2019,ทางตรง,ไม่มีความลาดชัน,2
94,บางแค - คลองมหาสวัสดิ์,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,15,1,2019,ทางตรง,ไม่มีความลาดชัน,3
96,ถนนศรีนครินทร์ - บางปะกง,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,15,1,2019,ทางตรง,ไม่มีความลาดชัน,3
99,รัชดาภิเษก - รามอินทรา,รถโดยสารขนาดใหญ่,แจ่มใส,16,1,2019,ทางตรง,ไม่มีความลาดชัน,2
101,อรุณอมรินทร์ - พุทธมณฑลสาย 4,รถจักรยานยนต์,แจ่มใส,16,1,2019,ทางตรง,ไม่มีความลาดชัน,3
102,งามวงศ์วาน - ดอนเมือง,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,17,1,2019,ทางตรง,ไม่มีความลาดชัน,0
103,ถนนศรีนครินทร์ - บางปะกง,รถตู้,แจ่มใส,17,1,2019,ทางตรง,ไม่มีความลาดชัน,0
104,แจ้งวัฒนะ-พญาไท,รถตู้,แจ่มใส,17,1,2019,อื่นๆ,ไม่มีความลาดชัน,1
105,บางนา-ท่าเรือ,รถบรรทุกมากกว่า 6 ล้อ ไม่เกิน 10 ล้อ,แจ่มใส,17,1,2019,อื่นๆ,ไม่มีความลาดชัน,2
106,สุขสวัสดิ์-บางขุนเทียน,อื่นๆ,แจ่มใส,17,1,2019,ทางตรง,ไม่มีความลาดชัน,3
107,พญาไท-ศรีนครินทร์,รถตู้,แจ่มใส,17,1,2019,ทางตรง,ไม่มีความลาดชัน,3
108,บางแค - คลองมหาสวัสดิ์,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,17,1,2019,ทางตรง,ไม่มีความลาดชัน,3
110,อรุณอมรินทร์ - พุทธมณฑลสาย 4,รถปิคอัพบรรทุก 4 ล้อ,แจ่มใส,18,1,2019,ทางตรง,ไม่มีความลาดชัน,2
111,คลองพระยาสุเรนทร์ - บางพลี,อื่นๆ,แจ่มใส,18,1,2019,อื่นๆ,ไม่มีความลาดชัน,2
112,หมอชิต-กาญจนาฯ,อื่นๆ,แจ่มใส,18,1,2019,ทางตรง,ไม่มีความลาดชัน,3
113,ถนนศรีนครินทร์ - บางปะกง,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,18,1,2019,ทางตรง,ไม่มีความลาดชัน,3
114,บางแค - คลองมหาสวัสดิ์,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,18,1,2019,ทางตรง,ไม่มีความลาดชัน,3
115,ดินแดง-ท่าเรือ,อื่นๆ,แจ่มใส,18,1,2019,ทางตรง,ไม่มีความลาดชัน,3
116,อรุณอมรินทร์ - พุทธมณฑลสาย 4,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,18,1,2019,ทางตรง,ไม่มีความลาดชัน,4
117,บางแค - คลองมหาสวัสดิ์,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,19,1,2019,ทางตรง,ไม่มีความลาดชัน,0
118,บางแค - คลองมหาสวัสดิ์,อื่นๆ,แจ่มใส,19,1,2019,ทางตรง,ไม่มีความลาดชัน,0
120,ถนนศรีนครินทร์ - บางปะกง,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,19,1,2019,ทางตรง,ไม่มีความลาดชัน,3
121,คลองพระยาสุเรนทร์ - บางพลี,รถปิคอัพบรรทุก 4 ล้อ,แจ่มใส,20,1,2019,ทางตรง,ไม่มีความลาดชัน,0
122,แยก คปอ. - สนามกีฬาธูปะเตมีย์,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,20,1,2019,ทางตรง,ไม่มีความลาดชัน,2
123,อรุณอมรินทร์ - พุทธมณฑลสาย 4,รถจักรยานยนต์,แจ่มใส,20,1,2019,ทางตรง,ไม่มีความลาดชัน,2
124,อรุณอมรินทร์ - พุทธมณฑลสาย 4,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,20,1,2019,ทางตรง,ไม่มีความลาดชัน,2
125,อรุณอมรินทร์ - พุทธมณฑลสาย 4,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,20,1,2019,ทางตรง,ไม่มีความลาดชัน,2
126,อรุณอมรินทร์ - พุทธมณฑลสาย 4,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,20,1,2019,ทางตรง,ไม่มีความลาดชัน,3
127,อรุณอมรินทร์ - พุทธมณฑลสาย 4,รถปิคอัพบรรทุก 4 ล้อ,แจ่มใส,20,1,2019,ทางตรง,ไม่มีความลาดชัน,3
128,ดาวคะนอง -  แสมดำ,รถบรรทุกมากกว่า 10 ล้อ (รถพ่วง),แจ่มใส,21,1,2019,ทางตรง,ไม่มีความลาดชัน,0
129,อรุณอมรินทร์ - พุทธมณฑลสาย 4,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,21,1,2019,ทางตรง,ไม่มีความลาดชัน,2
130,บางแค - คลองมหาสวัสดิ์,รถจักรยานยนต์,แจ่มใส,21,1,2019,ทางตรง,ไม่มีความลาดชัน,2
132,ถนนศรีนครินทร์ - บางปะกง,รถบรรทุก 6 ล้อ,แจ่มใส,22,1,2019,ทางโค้งกว้าง,ไม่มีความลาดชัน,2
134,อรุณอมรินทร์ - พุทธมณฑลสาย 4,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,23,1,2019,ทางตรง,ไม่มีความลาดชัน,1
135,อรุณอมรินทร์ - พุทธมณฑลสาย 4,รถจักรยานยนต์,แจ่มใส,23,1,2019,ทางตรง,ไม่มีความลาดชัน,1
137,อรุณอมรินทร์ - พุทธมณฑลสาย 4,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,24,1,2019,ทางตรง,ไม่มีความลาดชัน,1
139,ดาวคะนอง -  แสมดำ,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,24,1,2019,ทางตรง,ไม่มีความลาดชัน,4
140,บางแค - คลองมหาสวัสดิ์,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,25,1,2019,ทางตรง,ไม่มีความลาดชัน,1
141,อรุณอมรินทร์ - พุทธมณฑลสาย 4,รถจักรยานยนต์,แจ่มใส,26,1,2019,ทางตรง,ไม่มีความลาดชัน,0
142,ถนนศรีนครินทร์ - บางปะกง,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,26,1,2019,ทางตรง,ไม่มีความลาดชัน,0
143,บางแค - คลองมหาสวัสดิ์,รถปิคอัพบรรทุก 4 ล้อ,แจ่มใส,26,1,2019,ทางตรง,ไม่มีความลาดชัน,2
145,ถนนศรีนครินทร์ - บางปะกง,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,26,1,2019,ทางตรง,ไม่มีความลาดชัน,3
146,ถนนศรีนครินทร์ - บางปะกง,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,27,1,2019,ทางโค้งกว้าง,ไม่มีความลาดชัน,0
147,งามวงศ์วาน - ดอนเมือง,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,27,1,2019,ทางตรง,ไม่มีความลาดชัน,0
149,อรุณอมรินทร์ - พุทธมณฑลสาย 4,รถจักรยานยนต์,แจ่มใส,27,1,2019,ทางตรง,ไม่มีความลาดชัน,3
150,ถนนศรีนครินทร์ - บางปะกง,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,27,1,2019,ทางตรง,ไม่มีความลาดชัน,4
151,ถนนศรีนครินทร์ - บางปะกง,รถปิคอัพบรรทุก 4 ล้อ,แจ่มใส,28,1,2019,ทางตรง,ไม่มีความลาดชัน,1
152,อรุณอมรินทร์ - พุทธมณฑลสาย 4,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,28,1,2019,ทางตรง,ไม่มีความลาดชัน,1
153,อรุณอมรินทร์ - พุทธมณฑลสาย 4,รถตู้,แจ่มใส,28,1,2019,ทางตรง,ไม่มีความลาดชัน,1
154,อรุณอมรินทร์ - พุทธมณฑลสาย 4,รถตู้,แจ่มใส,28,1,2019,ทางตรง,ไม่มีความลาดชัน,2
155,อรุณอมรินทร์ - พุทธมณฑลสาย 4,รถจักรยานยนต์,แจ่มใส,28,1,2019,ทางตรง,ไม่มีความลาดชัน,2
156,ถนนศรีนครินทร์ - บางปะกง,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,28,1,2019,ทางตรง,ไม่มีความลาดชัน,2
157,ดาวคะนอง -  แสมดำ,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,28,1,2019,ทางตรง,ไม่มีความลาดชัน,3
159,อรุณอมรินทร์ - พุทธมณฑลสาย 4,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,28,1,2019,ทางตรง,ไม่มีความลาดชัน,4
160,ดาวคะนอง -  แสมดำ,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,28,1,2019,ทางตรง,ไม่มีความลาดชัน,4
161,ดาวคะนอง -  แสมดำ,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,29,1,2019,ทางตรง,ไม่มีความลาดชัน,1
162,บางแค - คลองมหาสวัสดิ์,รถบรรทุกมากกว่า 10 ล้อ (รถพ่วง),แจ่มใส,29,1,2019,ทางตรง,ไม่มีความลาดชัน,3
164,คลองพระยาสุเรนทร์ - บางพลี,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,30,1,2019,ทางตรง,ไม่มีความลาดชัน,1
165,อรุณอมรินทร์ - พุทธมณฑลสาย 4,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,30,1,2019,ทางตรง,ไม่มีความลาดชัน,1
166,คลองพระยาสุเรนทร์ - บางพลี,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,30,1,2019,ทางตรง,ไม่มีความลาดชัน,1
167,ถนนศรีนครินทร์ - บางปะกง,รถปิคอัพบรรทุก 4 ล้อ,แจ่มใส,30,1,2019,ทางตรง,ไม่มีความลาดชัน,2
168,อรุณอมรินทร์ - พุทธมณฑลสาย 4,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,30,1,2019,ทางตรง,ไม่มีความลาดชัน,2
169,อรุณอมรินทร์ - พุทธมณฑลสาย 4,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,30,1,2019,ทางตรง,ไม่มีความลาดชัน,2
170,อรุณอมรินทร์ - พุทธมณฑลสาย 4,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,31,1,2019,ทางตรง,ไม่มีความลาดชัน,1
171,ถนนศรีนครินทร์ - บางปะกง,รถปิคอัพบรรทุก 4 ล้อ,แจ่มใส,31,1,2019,ทางตรง,ไม่มีความลาดชัน,3
172,ถนนศรีนครินทร์ - บางปะกง,รถบรรทุก 6 ล้อ,แจ่มใส,31,1,2019,ทางโค้งกว้าง,ไม่มีความลาดชัน,4
174,คลองพระยาสุเรนทร์ - บางพลี,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,1,2,2019,ทางตรง,ไม่มีความลาดชัน,2
177,บางนา - ทางเข้าท่าอากาศยานสุวรรณภูมิ,รถปิคอัพบรรทุก 4 ล้อ,แจ่มใส,1,2,2019,ทางตรง,ไม่มีความลาดชัน,3
180,อรุณอมรินทร์ - พุทธมณฑลสาย 4,รถปิคอัพบรรทุก 4 ล้อ,แจ่มใส,2,2,2019,ทางตรง,ไม่มีความลาดชัน,0
182,ถนนศรีนครินทร์ - บางปะกง,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,2,2,2019,ทางตรง,ไม่มีความลาดชัน,2
183,ถนนศรีนครินทร์ - บางปะกง,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,2,2,2019,ทางตรง,ไม่มีความลาดชัน,2
184,บางแค - คลองมหาสวัสดิ์,รถปิคอัพบรรทุก 4 ล้อ,แจ่มใส,2,2,2019,ทางตรง,ไม่มีความลาดชัน,2
185,อรุณอมรินทร์ - พุทธมณฑลสาย 4,รถบรรทุกมากกว่า 6 ล้อ ไม่เกิน 10 ล้อ,แจ่มใส,2,2,2019,ทางโค้งกว้าง,ไม่มีความลาดชัน,2
186,บางแค - คลองมหาสวัสดิ์,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,2,2,2019,ทางตรง,ไม่มีความลาดชัน,3
188,คลองพระยาสุเรนทร์ - บางพลี,รถบรรทุกมากกว่า 6 ล้อ ไม่เกิน 10 ล้อ,แจ่มใส,3,2,2019,ทางตรง,ไม่มีความลาดชัน,0
189,พระประแดง - บางแค,รถปิคอัพบรรทุก 4 ล้อ,แจ่มใส,3,2,2019,ทางตรง,ไม่มีความลาดชัน,4
190,บางบอน - โรงพยาบาลบางปะกอก 8,รถปิคอัพบรรทุก 4 ล้อ,แจ่มใส,3,2,2019,ทางตรง,ไม่มีความลาดชัน,4
191,อรุณอมรินทร์ - พุทธมณฑลสาย 4,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,4,2,2019,ทางเชื่อมเข้าพื้นที่สาธารณะ/เชิงพาณิชย์,ไม่มีความลาดชัน,0
192,ถนนศรีนครินทร์ - บางปะกง,รถปิคอัพบรรทุก 4 ล้อ,แจ่มใส,4,2,2019,ทางตรง,ไม่มีความลาดชัน,2
193,ดาวคะนอง -  แสมดำ,รถปิคอัพบรรทุก 4 ล้อ,แจ่มใส,4,2,2019,ทางตรง,ไม่มีความลาดชัน,3
194,บางแค - คลองมหาสวัสดิ์,รถปิคอัพบรรทุก 4 ล้อ,แจ่มใส,5,2,2019,ทางตรง,ไม่มีความลาดชัน,0
195,งามวงศ์วาน - ดอนเมือง,รถบรรทุกมากกว่า 6 ล้อ ไม่เกิน 10 ล้อ,แจ่มใส,5,2,2019,ทางตรง,ไม่มีความลาดชัน,1
196,ถนนศรีนครินทร์ - บางปะกง,รถปิคอัพบรรทุก 4 ล้อ,แจ่มใส,5,2,2019,ทางตรง,ไม่มีความลาดชัน,2
197,อรุณอมรินทร์ - พุทธมณฑลสาย 4,รถปิคอัพโดยสาร,แจ่มใส,5,2,2019,ทางตรง,ไม่มีความลาดชัน,3
198,คลองพระยาสุเรนทร์ - บางพลี,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,5,2,2019,ทางตรง,ไม่มีความลาดชัน,4
199,อรุณอมรินทร์ - พุทธมณฑลสาย 4,รถจักรยานยนต์,แจ่มใส,6,2,2019,ทางตรง,ไม่มีความลาดชัน,1
201,อรุณอมรินทร์ - พุทธมณฑลสาย 4,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,6,2,2019,ทางตรง,ไม่มีความลาดชัน,3
